"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"17.08.2015","16,4271","16,3672","16,4800","16,3672","0,31%"
"14.08.2015","16,3756","16,3967","16,4339","16,3304","-0,16%"
"13.08.2015","16,4026","16,2800","16,4188","16,2410","0,74%"
"12.08.2015","16,2823","16,3097","16,3902","16,1708","-0,20%"
"11.08.2015","16,3145","16,1582","16,3686","16,1510","0,94%"
"10.08.2015","16,1624","16,1500","16,2787","16,0858","0,05%"
"07.08.2015","16,1538","16,3282","16,3608","16,1068","-1,04%"
"06.08.2015","16,3240","16,3766","16,4187","16,3068","-0,32%"
"05.08.2015","16,3758","16,2995","16,3999","16,2270","0,49%"
"04.08.2015","16,2958","16,1700","16,3011","16,0922","0,72%"
"03.08.2015","16,1797","16,1020","16,1852","16,0700","0,43%"
"31.07.2015","16,1106","16,2734","16,2952","15,9989","-0,97%"
"30.07.2015","16,2681","16,2813","16,4890","16,1933","-0,13%"
"29.07.2015","16,2890","16,2725","16,3027","16,1613","0,10%"
"28.07.2015","16,2735","16,2843","16,3278","16,2082","-0,11%"
"27.07.2015","16,2917","16,2559","16,3459","16,2152","0,14%"
"24.07.2015","16,2695","16,2172","16,3018","16,1938","0,33%"
"23.07.2015","16,2163","16,0983","16,2180","16,0388","0,75%"
"22.07.2015","16,0950","15,9943","16,1492","15,9865","0,56%"
"21.07.2015","16,0048","16,0155","16,0202","15,9362","-0,02%"
"20.07.2015","16,0080","15,9286","16,0444","15,9000","0,50%"
"17.07.2015","15,9288","15,8372","15,9366","15,7910","0,61%"
"16.07.2015","15,8324","15,7841","15,8392","15,7684","0,32%"
"15.07.2015","15,7820","15,6573","15,8068","15,6320","0,74%"
"14.07.2015","15,6655","15,7078","15,7663","15,6245","-0,23%"
"13.07.2015","15,7023","15,7130","15,8084","15,6915","-0,07%"
"10.07.2015","15,7140","15,8123","15,8203","15,6643","-0,64%"
"09.07.2015","15,8160","15,8488","15,8542","15,7318","-0,20%"
"08.07.2015","15,8482","15,7872","15,8704","15,7672","0,38%"
"07.07.2015","15,7878","15,7103","15,8682","15,6940","0,48%"
"06.07.2015","15,7122","15,7553","15,8627","15,6915","-0,12%"
"03.07.2015","15,7311","15,6576","15,7569","15,6570","0,44%"
"02.07.2015","15,6618","15,7768","15,8415","15,6307","-0,76%"
"01.07.2015","15,7815","15,7306","15,8127","15,6933","0,27%"
"30.06.2015","15,7389","15,6888","15,7389","15,6253","0,32%"
"29.06.2015","15,6884","15,6225","15,7191","15,6130","0,86%"
"26.06.2015","15,5553","15,4820","15,5917","15,4761","0,47%"
"25.06.2015","15,4821","15,4992","15,5208","15,4477","-0,11%"
"24.06.2015","15,4999","15,3960","15,5054","15,3560","0,65%"
"23.06.2015","15,4003","15,3430","15,4426","15,3177","0,38%"
"22.06.2015","15,3415","15,3536","15,3590","15,2795","-0,03%"
"19.06.2015","15,3467","15,3408","15,3716","15,2765","0,03%"
"18.06.2015","15,3423","15,2648","15,3771","15,1689","0,55%"
